385010唯一合格男   06 999999901    240326182423184127000100207    2 10000796010301011                                                                                                                                                                    0101010114020202010202080801040401030509020105020402029901360698989069991026799999999999999999999999999999999999901990101                                      01101
385028唯一合格男  042 999999901    240328210209212948000100193    2 10000526010301011                                                                                                                                                                    0101010113920298989702060597030398070508020105980602029901280202989069996026699999999999999999999999999999999991799990102                                      99104
385036唯一合格男    2 999999901    240326182641183629000100067    2 10001275010301011                                                                                                                                                                    0101010204080101020102081001040300050310010100010502019901330402029069996026599999999999999999999999999999999019999990102                                      99102
385062唯一合格男   03 999999901    240326182854184304000100280    2 10000080010201011                                                                                                                                                                    0101010104140101010102090901040409060508020100980698992101400501011059999990499059999999999999999999999999999999999990102                                      99101
385084最年輕的女   08 999999901    240326183035184455000100282    2 10000072010502051                                                                                                                                                                    0101010308020298030303030504020200070505030206030196990302790602023019999991399999999999999059999999999999999999999990201                                      01201
385088最年輕的男   03 999999901    240326183051184646000100036    1 10000181010403041                                                                                                                                                                    0102950103020201030202051097970105981000030200970438019902890602021059999991399999999999999019999999999999999999999990201                                      95101
385129唯一合格男    2 999999901    240326183416184808000100155    2 10001012010201011                                                                                                                                                                    0102010196990101010202090902040300040208980205010596990401420402029069996026799999999999999999999999999999999999901990202                                      99104
385164最年輕的女    2 999999901    240328210647212054000100222    2 10000320010200021                                                                                                                                                                    0101010304020303020404060502030206100807030304030601029902660402033029999996599999999999999999999999999999999039999990101                                      01201
385168最年輕的女    2 999999901    240330191453192334000100252    2 10000076010200021                                                                                                                                                                    0101020108020101010101101002020200040306020204020402029901670602022079999996599999999999999999999999999999999149999990101                                      95204
385177唯一合格男   03 999999901    240326183759185520000100124    2 10000920010201011                                                                                                                                                                    0299019802040497020404050503020405060606030306040507990801410402029069996026499999999999999999999999999999930999999990202                                      99101
385218唯一合格男   07 999999901    240326184148185646000100275    2 10000156010101011                                                                                                                                                                    0101010401020404040404000096970498081000030308040696990302320202021069999990999999999990899999999999999999999999999990102                                      99102
385225唯一合格女    2 999999901    240326184231185401000100207    2 10000796010504011                                                                                                                                                                    0101010203020202010202050702020300070008030200030598990801710302026019999996399999999999999999999999999991199999999990102                                      99201
385257唯一合格男    2 999999901    240328211037211706000100225    1 10000375010301012                                                                                                                                                                    0101010301020403030304000003030205100500030300030607990802590402026029999996599999999999999999999999999999999059999990101                                      95101
385265唯一合格男   08 999999901    240326184604190001000100049    2 10002864010401011                                                                                                                                                                    0299020301020304030303000504030395090806030308030601029901370402029069991041399999999999999059999999999999999999999990102                                      99102
